Name,Country,Age,"Height, cm",Weight,Sex,Date of birth,Birth Month,Place of birth,Gold,Silver,Bronze,Total,Sport,Event
Carlos Reinaldo Perez,Hungary,40,198,107,M,8/26/1971,8,,0,0,0,0,Handball,Men's Handball
Nicoleta Grasu,Romania,40,176,98,F,9/11/1971,9,Secuieni (ROU),0,0,0,0,Athletics,Women's Discus Throw
Clive Barton,Australia,40,189,85,M,10/2/1971,10,Tamworth (AUS),0,0,0,0,Shooting,Men's Skeet
Ivana Sekyrova,Czech Republic,40,172,51,F,10/13/1971,10,Klatovy (CZE),0,0,0,0,Athletics,Women's Marathon
Christopher Horner,United States of America,40,178,64,M,10/23/1971,10,Okinawa (JPN),0,0,0,0,Cycling - Road,Men's Road Race
Zongliang Tan,People's Republic of China,40,179,86,M,10/29/1971,10,Shandong (CHN),0,0,0,0,Shooting,Men's 10m Air Pistol
Alison Williamson,Great Britain,40,175,75,F,11/3/1971,11,MELTON MOWBRAY,0,0,0,0,Archery,"Women's Individual, Women's Team"
Laura Flessel-Colovic,France,40,171,55,F,11/6/1971,11,,0,0,0,0,Fencing,Women's Individual Epee
Alejandro Madorno,Argentina,40,183,73,M,12/12/1971,12,Buenos Aires (ARG),0,0,0,0,Equestrian,"Individual Jumping, MILANO DE FLORE"
Sabine Spitz,Germany,40,168,60,F,12/27/1971,12,Bad Sackingen (GER),0,0,0,0,Cycling - Mountain Bike,Women's Cross-country
Ramzy Al Duhami,Saudi Arabia,40,,,M,1/5/1972,1,Riyadh (KSA),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, BAYARD VAN DE VILLA THERE"
Mostafa Hamdy,Egypt,40,170,73,M,1/18/1972,1,Cairo (EGY),0,0,0,0,Shooting,Men's Skeet
Virgilijus Alekna,Lithuania,40,199,135,M,2/13/1972,2,KUPISKIS (LTU),0,0,0,0,Athletics,Men's Discus Throw
Kalinikos Kreanga,Greece,40,168,60,M,3/8/1972,3,Bistrita (ROU),0,0,0,0,Table Tennis,Men's Singles
Greg Searle,Great Britain,40,197,97,M,3/20/1972,3,,0,0,1,1,Rowing,Men's Eight
Linda Algotsson,Sweden,40,158,53,F,3/22/1972,3,KRISTVALLA (SWE),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, LA FAIR"
Malcolm Page,Australia,40,185,71,M,3/22/1972,3,Sydney (AUS),0,0,0,0,Sailing,Men's 470
Marcel Buerge,Switzerland,40,180,90,M,3/28/1972,3,ARBON (SUI),0,0,0,0,Shooting,"Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Jose Hombrados Ibanez,Spain,40,196,96,M,4/7/1972,4,,0,0,0,0,Handball,Men's Handball
Anabel Balkenhol,Germany,40,170,67,F,4/8/1972,4,HILDEN (GER),0,0,0,0,Equestrian,"Individual Dressage, DABLINO"
Jantsan Gantugs,Mongolia,40,174,75,M,4/12/1972,4,MOSKOW,0,0,0,0,Archery,Men's Individual
Eivind Melleby,Norway,40,,,M,4/19/1972,4,Oslo (NOR),0,0,0,0,Sailing,Men's Star
Weixing Chen,Austria,40,173,74,M,4/27/1972,4,NEI MONGOL,0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
Vasily Mosin,Russian Federation,40,182,77,M,5/9/1972,5,Kazan (RUS),0,0,1,1,Shooting,Men's Double Trap
Song Liu,Argentina,40,170,61,M,5/12/1972,5,GUILIN (CHN),0,0,0,0,Table Tennis,Men's Singles
Michael Diamond,Australia,40,174,80,M,5/20/1972,5,Sydney (AUS),0,0,0,0,Shooting,Men's Trap
Olivier Guillon,France,40,182,75,M,5/22/1972,5,Vernon (FRA),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, LORD DE THEIZE"
Eskild Ebbesen,Denmark,40,188,75,M,5/27/1972,5,,0,0,1,1,Rowing,Men's Lightweight Four
Sam Griffiths,Australia,40,172,68,M,5/27/1972,5,Melbourne (AUS),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, HAPPY TIMES"
Ekaterina Karsten,Belarus,40,185,80,F,6/2/1972,6,,0,0,0,0,Rowing,Women's Single Sculls
Iztok Cop,Slovenia,40,190,90,M,6/17/1972,6,,0,0,1,1,Rowing,Men's Double Sculls
Bostjan Macek,Slovenia,40,174,118,M,6/17/1972,6,MURSKA SOBOTA (SLO),0,0,0,0,Shooting,Men's Trap
Maria Grozdeva,Bulgaria,40,166,58,F,6/23/1972,6,Sofia (BUL),0,0,0,0,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Tomas Couve Correa,Chile,40,183,64,M,6/30/1972,6,Santiago (CHI),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, UNDERWRAPS"
Elena Allen,Great Britain,40,169,67,F,7/12/1972,7,Moscow (RUS),0,0,0,0,Shooting,Women's Skeet
Sascha Heyer,Switzerland,40,203,104,M,7/21/1972,7,,0,0,0,0,Beach Volleyball,Men's Beach Volleyball
Yamile Aldama,Great Britain,39,172,62,F,8/14/1972,8,Havana (CUB),0,0,0,0,Athletics,Women's Triple Jump
Irina Mikitenko,Germany,39,161,48,F,8/23/1972,8,Bakanas (KAZ),0,0,0,0,Athletics,Women's Marathon
Daniel Nestor,Canada,39,191,87,M,9/4/1972,9,,0,0,0,0,Tennis,Men's Doubles
Dzmitry Marshin,Azerbaijan,39,186,115,M,9/15/1972,9,MOGILYOV (BLR),0,0,0,0,Athletics,Men's Hammer Throw
Paris A. Inostroza Budinich,Chile,39,183,90,M,9/22/1972,9,,0,0,0,0,Fencing,Men's Individual Epee
Derek Horton,Guam,39,183,70,M,9/26/1972,9,TAMUNING (GUM),0,0,0,0,Cycling - Mountain Bike,Men's Cross-country
Clara Hughes,Canada,39,176,69,F,9/27/1972,9,Winnipeg (CAN),0,0,0,0,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Derek Miles,United States of America,39,191,88,M,9/28/1972,9,Sacramento (USA),0,0,0,0,Athletics,Men's Pole Vault
Werner Schlager,Austria,39,176,74,M,9/28/1972,9,Wiener Neustadt (AUT),0,0,0,0,Table Tennis,"Men's Singles, Men's Team"
Danielle Scott-Arruda,United States of America,39,191,85,F,10/1/1972,10,Baton Rouge (USA),0,0,0,0,Volleyball,Women's Volleyball
Daniela Grelui Larreal,Venezuela,39,170,75,F,10/2/1972,10,Caracas (VEN),0,0,0,0,Cycling - Track,"Women's Sprint, Women's Keirin, Women's Team Sprint"
Maria Elena Espeso,Spain,39,161,48,F,10/10/1972,10,Valladolid (ESP),0,0,0,0,Athletics,Women's Marathon
Lotte Meldgaard,Denmark,39,166,61,F,10/13/1972,10,ESBJERG (DEN),0,0,0,0,Sailing,Women's Elliott 6m
Brian Fatih,United States of America,39,191,109,M,10/18/1972,10,Atlanta (USA),0,0,0,0,Sailing,Men's Star
Wenling Tan,Italy,39,152,45,F,10/28/1972,10,HUNAN,0,0,0,0,Table Tennis,Women's Singles
Luigi Tarantino,Italy,39,187,96,M,11/10/1972,11,,0,0,0,0,Fencing,"Men's Individual Sabre, Men's Team Sabre"
Nikolay Maximov,Kazakhstan,39,190,95,M,11/15/1972,11,,0,0,0,0,Water Polo,Men's Water Polo
Rodrigo Pessoa,Brazil,39,177,67,M,11/29/1972,11,Rio De Janeiro (BRA),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, REBOZO"
Dhaher Alaryani,United Arab Emirates,39,,,M,12/11/1972,12,RAS ALKHAIMAH (UAE),0,0,0,0,Shooting,Men's Trap
Anthony Edwards,Australia,39,183,72,M,12/22/1972,12,,0,0,0,0,Rowing,Men's Lightweight Four
Yusuf Dikec,Turkey,39,180,80,M,1/1/1973,1,KAHRAMANMARAS (TUR),0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
Julia Levina,Russian Federation,39,184,79,F,1/2/1973,1,,0,0,0,0,Rowing,Women's Single Sculls
Artur Ayvazyan,Ukraine,39,177,88,M,1/14/1973,1,Yerevan (ARM),0,0,0,0,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Jiao Li,Netherlands,39,167,57,F,1/15/1973,1,QINGDAO CITY,0,0,0,0,Table Tennis,"Women's Singles, Women's Team"
Mihaela Ciobanu Ciobanu,Spain,39,175,73,F,1/30/1973,1,,0,0,0,0,Handball,Women's Handball
Jakkrit Panichpatikum,Thailand,39,170,64,M,1/31/1973,1,BANGKOK (THA),0,0,0,0,Shooting,"Men's 50m Pistol, Men's 25m Rapid Fire Pistol, Men's 10m Air Pistol"
Aleksander Tammert,Estonia,39,196,124,M,2/2/1973,2,Tartu (EST),0,0,0,0,Athletics,Men's Discus Throw
Alvaro Affonso de Miranda Neto,Brazil,39,,,M,2/5/1973,2,Sao Paulo (BRA),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, RAHMANNSHOF'S BOGENO"
Gunn-Rita Dahle Flesjaa,Norway,39,,,F,2/10/1973,2,Stavanger (NOR),0,0,0,0,Cycling - Mountain Bike,Women's Cross-country
Anna Dogonadze,Germany,39,157,,F,2/15/1973,2,MCXETA (GEO),0,0,0,0,Trampoline,Women's Trampoline
Mark Mendelblatt,United States of America,39,188,88,M,2/19/1973,2,SAINT PETERSBURG (USA),0,0,0,0,Sailing,Men's Star
Iordan Iovtchev,Bulgaria,39,160,,M,2/24/1973,2,Plovdiv (BUL),0,0,0,0,Gymnastics - Artistic,Men's Qualification
Jenny Bindon,New Zealand,39,179,63,F,2/25/1973,2,,0,0,0,0,Football,Women's Football
Daniel Birgmark,Sweden,39,191,93,M,3/5/1973,3,HARKLANDA (SWE),0,0,0,0,Sailing,Men's Finn
Dotsie Bausch,United States of America,39,173,59,F,3/6/1973,3,Irvine (USA),0,0,0,0,Cycling - Track,Women's Team Pursuit
Jian Fang Lay,Australia,39,163,58,F,3/6/1973,3,WENGZHOU,0,0,0,0,Table Tennis,"Women's Singles, Women's Team"
Kam-Po Wong,"Hong Kong, China",39,173,59,M,3/13/1973,3,Hong Kong (HKG),0,0,0,0,"Cycling - Mountain Bike, Cycling - Road, Cycling - Track","Men's Road Race, Men's Omnium"
Helmut Oblinger,Austria,39,180,70,M,3/14/1973,3,SCHARDING (AUT),0,0,0,0,Canoe Slalom,Men's Kayak (K1)
Caroline Powell,New Zealand,39,156,60,F,3/14/1973,3,Lower Hutt (NZL),0,0,1,1,Equestrian,"Individual Eventing, Team Eventing, LENAMORE"
Lioubov Galkina,Russian Federation,39,165,57,F,3/15/1973,3,Sverdlovsk Region (RUS),0,0,0,0,Shooting,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
David MmcCann,Ireland,39,180,73,M,3/17/1973,3,BELFAST (GBR),0,0,0,0,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Alexandr Shvedov,Kazakhstan,39,197,85,M,4/11/1973,4,,0,0,0,0,Water Polo,Men's Water Polo
Karsten Bindrich,Germany,39,188,105,M,4/15/1973,4,WITTENBERG (GER),0,0,0,0,Shooting,Men's Trap
Emanuel Rego,Brazil,39,190,80,M,4/15/1973,4,,0,0,0,0,Beach Volleyball,Men's Beach Volleyball
Robert Scheidt,Brazil,39,187,83,M,4/15/1973,4,Sao Paulo (BRA),0,0,0,0,Sailing,Men's Star
Luis Feiteira,Portugal,39,177,60,M,4/21/1973,4,MOITA (POR),0,0,0,0,Athletics,Men's Marathon
Rich Schuil,Netherlands,39,203,94,M,5/2/1973,5,,0,0,0,0,Beach Volleyball,Men's Beach Volleyball
Suzanne Balogh,Australia,39,166,89,F,5/8/1973,5,QUEANBEYAN (AUS),0,0,0,0,Shooting,Women's Trap
Emilios PAPATHANASIOU,Greece,39,190,100,M,5/8/1973,5,Athína (GRE),0,0,0,0,Sailing,Men's Star
Franck Dumoulin,France,39,171,72,M,5/13/1973,5,DENAIN (FRA),0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
Samuele Papi,Italy,39,190,84,M,5/20/1973,5,ANCONA (ITA),0,0,0,0,Volleyball,Men's Volleyball
Mikel Odriozola,Spain,39,178,67,M,5/25/1973,5,RENTERIA (ESP),0,0,0,0,Athletics,Men's 50km Race Walk
Mark Kyle,Ireland,39,182,80,M,6/5/1973,6,Dublin (IRL),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, COOLIO"
Ruy Fonseca,Brazil,39,,,M,6/9/1973,6,Sao Paulo (BRA),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, TOM BOMBADILL TOO"
Marin Lovrovic,Croatia,39,187,101,M,6/16/1973,6,Rijeka (CRO),0,0,0,0,Sailing,Men's Star
Leander Paes,India,39,,,M,6/17/1973,6,,0,0,0,0,Tennis,"Men's Doubles, Mixed Doubles"
Alexandros Papadimitriou,Greece,39,183,120,M,6/18/1973,6,Larisa (GRE),0,0,0,0,Athletics,Men's Hammer Throw
Olafur Stefansson,Iceland,39,197,95,M,7/3/1973,7,,0,0,0,0,Handball,Men's Handball
Kyung Shin Yoon,Republic of Korea,39,203,110,M,7/7/1973,7,,0,0,0,0,Handball,Men's Handball
Oleg Lykov,Ukraine,39,202,105,M,8/1/1973,8,,0,0,0,0,Rowing,Men's Eight
Stuart O'Grady,Australia,38,177,71,M,8/6/1973,8,Adelaide (AUS),0,0,0,0,Cycling - Road,Men's Road Race
Lisa Raymond,United States of America,38,165,55,F,8/10/1973,8,,0,0,0,0,Tennis,"Women's Doubles, Mixed Doubles"
Kristin Armstrong,United States of America,38,173,58,F,8/11/1973,8,Memphis (USA),1,0,0,1,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Mara Yamauchi,Great Britain,38,162,51,F,8/13/1973,8,Oxford (GBR),0,0,0,0,Athletics,Women's Marathon
Sandrine Soubeyrand,France,38,173,59,F,8/16/1973,8,,0,0,0,0,Football,Women's Football
Noureddine Hfaiedh,Tunisia,38,197,86,M,8/27/1973,8,JENDOUBA (TUN),0,0,0,0,Volleyball,Men's Volleyball
Gonzalo Andres Garrido Zenteno,Chile,38,174,69,M,9/2/1973,9,CONCEPCION (CHI),0,0,0,0,Cycling - Road,Men's Road Race
Lidia Simon,Romania,38,160,45,F,9/4/1973,9,TIRGU CARBUNESTI (ROU),0,0,0,0,Athletics,Women's Marathon
Alexandr Vinokurov,Kazakhstan,38,176,69,M,9/16/1973,9,Pavlodar (KAZ),1,0,0,1,Cycling - Road,"Men's Individual Time Trial, Men's Road Race"
Delphine Reau,France,38,171,72,F,9/19/1973,9,MELUN (FRA),0,0,0,0,Shooting,Women's Trap
Joanne Pavey,Great Britain,38,162,49,F,9/20/1973,9,Honiton (GBR),0,0,0,0,Athletics,"Women's 5000m, Women's 10,000m"
Todd Rogers,United States of America,38,188,88,M,9/30/1973,9,,0,0,0,0,Beach Volleyball,Men's Beach Volleyball
Samir Barac,Croatia,38,187,89,M,11/2/1973,11,Rijeka (CRO),0,0,0,0,Water Polo,Men's Water Polo
Nicola Vizzoni,Italy,38,193,130,M,11/4/1973,11,PIETRASANTA (ITA),0,0,0,0,Athletics,Men's Hammer Throw
Elisa Casanova,Italy,38,185,100,F,11/26/1973,11,Genova (ITA),0,0,0,0,Water Polo,Women's Water Polo
Ryan Giggs,Great Britain,38,180,75,M,11/29/1973,11,,0,0,0,0,Football,Men's Football
Daisaku Takeda,Japan,38,178,73,M,12/5/1973,12,,0,0,0,0,Rowing,Men's Lightweight Double Sculls
Nate Reinking,Great Britain,38,189,88,M,12/12/1973,12,,0,0,0,0,Basketball,Men's Basketball
Premysl Kubala,Czech Republic,38,202,97,M,12/16/1973,12,,0,0,0,0,Beach Volleyball,Men's Beach Volleyball
Ana Luiza Souza Lima,Brazil,38,171,60,F,12/26/1973,12,Rio De Janeiro (BRA),0,0,0,0,Shooting,"Women's 10m Air Pistol, Women's 25m Pistol"
Khatuna Lorig,United States of America,38,170,64,F,1/1/1974,1,Tbilisi,0,0,0,0,Archery,"Women's Individual, Women's Team"
Alexey Panfili,Kazakhstan,38,198,98,M,1/5/1974,1,Bishkek (KGZ),0,0,0,0,Water Polo,Men's Water Polo
Andres Kogovsek,Argentina,38,190,92,M,1/7/1974,1,,0,0,0,0,Handball,Men's Handball
Jose Manuel Martin Dockx,Spain,38,182,79,M,1/7/1974,1,Malaga (ESP),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, GRANDIOSO"
Weiyi Wang,People's Republic of China,38,176,85,M,1/31/1974,1,Shaanxi (CHN),0,0,0,0,Shooting,Men's 50m Rifle Prone
Valentina Vezzali,Italy,38,164,53,F,2/14/1974,2,,1,0,1,2,Fencing,"Women's Individual Foil, Women's Team Foil"
Vitaly Fokeev,Russian Federation,38,180,86,M,2/15/1974,2,ROSTOV ON DON (RUS),0,0,0,0,Shooting,Men's Double Trap
Werner Muff,Switzerland,38,182,76,M,2/25/1974,2,Sursee (SUI),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, KIAMON"
Niklas Lindback,Sweden,38,185,85,M,3/2/1974,3,BORRINGE (SWE),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, MISTER POOH"
Anderson Nocetti,Brazil,38,188,90,M,3/5/1974,3,,0,0,0,0,Rowing,Men's Single Sculls
Adriana Kostiw,Brazil,38,170,70,F,3/16/1974,3,Sao Paulo (BRA),0,0,0,0,Sailing,Women's Laser Radial
Jozef Gonci,Slovakia,38,186,85,M,3/18/1974,3,Kosice (SVK),0,0,0,0,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
Esther Suss,Switzerland,38,167,54,F,3/19/1974,3,BRUGG (SUI),0,0,0,0,Cycling - Mountain Bike,Women's Cross-country
Artem Rubanko,Ukraine,38,191,106,M,3/21/1974,3,Kyiv (UKR),0,0,0,0,Athletics,Men's Hammer Throw
Elena Tchalykh,Azerbaijan,38,159,59,F,3/25/1974,3,ALTAY (RUS),0,0,0,0,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Simon Terry,Great Britain,38,180,100,M,3/27/1974,3,Stirling,0,0,0,0,Archery,"Men's Individual, Men's Team"
Marcus Ehning,Germany,38,170,63,M,4/19/1974,4,SUDLOHN (GER),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, PLOT BLUE"
Lornah Kiplagat,Netherlands,38,167,48,F,5/1/1974,5,KABIEMIT (KEN),0,0,0,0,Athletics,Women's Marathon
Krisztina Toth,Hungary,38,164,65,F,5/29/1974,5,Miskolc (HUN),0,0,0,0,Table Tennis,Women's Singles
Mahesh Bhupathi,India,38,,,M,6/7/1974,6,,0,0,0,0,Tennis,Men's Doubles
Venelina Veneva-Mateeva,Bulgaria,38,178,57,F,6/13/1974,6,Ruse (BUL),0,0,0,0,Athletics,Women's High Jump
Hosung Cho,Republic of Korea,38,175,70,M,6/15/1974,6,GYUNGGI (KOR),0,0,0,0,Cycling - Track,Men's Omnium
Evangelia Psarra,Greece,38,172,63,F,6/17/1974,6,Thessaloniki,0,0,0,0,Archery,Women's Individual
Roderick Chisholm,Australia,38,183,72,M,6/19/1974,6,,0,0,0,0,Rowing,Men's Lightweight Double Sculls
Roman Bondaruk,Ukraine,38,176,91,M,6/20/1974,6,Lviv (UKR),0,0,0,0,Shooting,Men's 25m Rapid Fire Pistol
Jason Parker,United States of America,38,175,77,M,6/27/1974,6,Omaha (USA),0,0,0,0,Shooting,Men's 50m Rifle 3 Positions
Michelle Edwards,South Africa,38,155,58,F,7/11/1974,7,Durban,0,0,0,0,Badminton,Women's Doubles
Giuseppe Giordano,Italy,38,170,74,M,7/16/1974,7,Napoli (ITA),0,0,0,0,Shooting,Men's 50m Pistol
Ruggero Pertile,Italy,37,170,56,M,8/8/1974,8,Camposampiero (ITA),0,0,0,0,Athletics,Men's Marathon
Lahoussine Ali,Morocco,37,176,68,M,8/16/1974,8,,0,0,0,0,Fencing,Men's Individual Foil
Adam Korol,Poland,37,193,93,M,8/20/1974,8,,0,0,0,0,Rowing,Men's Quadruple Sculls
Claus Olesen,Denmark,37,193,107,M,8/21/1974,8,Arhus (DEN),0,0,0,0,Sailing,Men's Star
Douglas Vandor,Canada,37,180,70,M,8/25/1974,8,,0,0,0,0,Rowing,Men's Lightweight Double Sculls
Bahar Dogan,Turkey,37,158,48,F,9/2/1974,9,KOCAELI (TUR),0,0,0,0,Athletics,Women's Marathon
Woon Kon Yeo,Republic of Korea,37,173,74,M,9/4/1974,9,,0,0,0,0,Hockey,Men's Hockey
Juan Carlos Cardona,Colombia,37,168,60,M,9/7/1974,9,LA CEJA (COL),0,0,0,0,Athletics,Men's Marathon
Dremiel Deshon Byers,United States of America,37,188,120,M,9/11/1974,9,Newark (USA),0,0,0,0,Wrestling,Men's 120kg Greco-Roman
Damien Desprat,Monaco,37,188,83,M,9/14/1974,9,SAINT,0,0,0,0,Sailing,Men's Laser
Daniele di Spigno,Italy,37,184,83,M,9/19/1974,9,Roma (ITA),0,0,0,0,Shooting,Men's Double Trap
Tania Maria Pereira Ribeiro,Brazil,37,166,57,F,10/3/1974,10,,0,0,0,0,Football,Women's Football
Xuan Vinh Hoang,Vietnam,37,178,80,M,10/6/1974,10,HANOI,0,0,0,0,Shooting,"Men's 50m Pistol, Men's 10m Air Pistol"
Koji Murofushi,Japan,37,187,99,M,10/8/1974,10,NUMAZU (JPN),0,0,0,0,Athletics,Men's Hammer Throw
Viktor Rothlin,Switzerland,37,172,60,M,10/14/1974,10,SARNEN (SUI),0,0,0,0,Athletics,Men's Marathon
Martin Tesovic,Slovakia,37,182,105,M,10/26/1974,10,Bratislava (SVK),0,0,0,0,Weightlifting,Men's 105kg
Ina Teutenberg,Germany,37,164,63,F,10/28/1974,10,Dusseldorf (GER),0,0,0,0,Cycling - Road,Women's Road Race
Brigitte Foster-Hylton,Jamaica,37,165,62,F,11/7/1974,11,St Elizabeth (JAM),0,0,0,0,Athletics,Women's 100m Hurdles
Vitali Bubnovich,Belarus,37,169,67,M,11/12/1974,11,Grodno (BLR),0,0,0,0,Shooting,"Men's 10m Air Rifle, Men's 50m Rifle 3 Positions"
Stefano Brecciaroli,Italy,37,178,78,M,11/19/1974,11,Roma (ITA),0,0,0,0,Equestrian,"Individual Eventing, APOLLO WD WENDI KURT HOEV"
Drew Ginn,Australia,37,195,85,M,11/20/1974,11,,0,0,0,0,Rowing,Men's Four
Antonakis Andreou,Cyprus,37,173,68,M,11/24/1974,11,DEKELEIA (CYP),0,0,0,0,Shooting,Men's Skeet
Roman Sebrle,Czech Republic,37,186,87,M,11/26/1974,11,Lanskroun (CZE),0,0,0,0,Athletics,Men's Decathlon
Petr Benes,Czech Republic,37,198,95,M,11/27/1974,11,,0,0,0,0,Beach Volleyball,Men's Beach Volleyball
Wendy Houvenaghel,Great Britain,37,176,60,F,11/27/1974,11,MAGHERAFELT (GBR),0,0,0,0,Cycling - Track,Women's Team Pursuit
Sara Algotsson Ostholt,Sweden,37,162,55,F,12/8/1974,12,KRISTVALLA (SWE),0,1,0,1,Equestrian,"Individual Eventing, Team Eventing, WEGA"
Bernard Lagat,United States of America,37,173,59,M,12/12/1974,12,Kapsabet (KEN),0,0,0,0,Athletics,Men's 5000m
Nikola Stojic,Serbia,37,198,99,M,12/15/1974,12,,0,0,0,0,Rowing,Men's Pair
Christian Ahlmann,Germany,37,192,88,M,12/17/1974,12,MARL (GER),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, CODEX ONE"
Minna Telde,Sweden,37,168,53,F,12/19/1974,12,ARENTUNA (SWE),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, SANTANA"
Geza Imre,Hungary,37,184,76,M,12/23/1974,12,,0,0,0,0,Fencing,Men's Individual Epee
Ricardo Santos,Brazil,37,200,107,M,1/6/1975,1,,0,0,0,0,Beach Volleyball,Men's Beach Volleyball
Yuan Tian,Croatia,37,,,F,1/12/1975,1,Shenyang,0,0,0,0,Table Tennis,Women's Singles
Nat Cook,Australia,37,181,72,F,1/19/1975,1,,0,0,0,0,Beach Volleyball,Women's Beach Volleyball
Marcio Carvalho Jorge,Brazil,37,,,M,1/28/1975,1,COLINA (BRA),0,0,0,0,Equestrian,"Individual Eventing, Team Eventing, JOSEPHINE"
Mihaly Deak-Bardos,Hungary,37,195,120,M,1/30/1975,1,Miskolc (HUN),0,0,0,0,Wrestling,Men's 120kg Greco-Roman
Walter Fernando Perez,Argentina,37,180,75,M,1/31/1975,1,Buenos Aires (ARG),0,0,0,0,"Cycling - Road, Cycling - Track",Men's Omnium
Keith Sanderson,United States of America,37,183,95,M,2/2/1975,2,Colorado Springs (USA),0,0,0,0,Shooting,Men's 25m Rapid Fire Pistol
Soumiya Labani,Morocco,37,168,54,F,2/3/1975,2,Safi (MAR),0,0,0,0,Athletics,Women's Marathon
Rachid Chouhal,Malta,37,178,80,M,2/14/1975,2,Meknés (MAR),0,0,0,0,Athletics,Men's 100m
Amber Neben,United States of America,37,163,50,F,2/18/1975,2,Santa Ana (USA),0,0,0,0,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Kristina Saltanovic,Lithuania,37,164,53,F,2/20/1975,2,Vilnius (LTU),0,0,0,0,Athletics,Women's 20km Race Walk
Vivian Chukwuemeka,Nigeria,37,,,F,3/4/1975,3,DELTA (NGR),0,0,0,0,Athletics,Women's Shot Put
Kristi Harrower,Australia,37,162,63,F,3/4/1975,3,,0,0,0,0,Basketball,Women's Basketball
Tom R Goegebuer,Belgium,37,163,56,M,3/27/1975,3,Gent,0,0,0,0,Weightlifting,Men's 56kg
Rudi Lausarot,Uruguay,37,170,68,M,4/3/1975,4,Rio Negro (URU),0,0,0,0,Shooting,Men's 10m Air Rifle
Tony Gunawan,United States of America,37,173,73,M,4/9/1975,4,SURABAYA,0,0,0,0,Badminton,Men's Doubles
Malin Baryard-Johnsson,Sweden,37,172,52,F,4/10/1975,4,S:T LAURENT (SWE),0,0,0,0,Equestrian,"Individual Jumping, Team Jumping, TORNESCH"
Marcelo Machado,Brazil,37,200,95,M,4/12/1975,4,,0,0,0,0,Basketball,Men's Basketball
Arturo Malaquias,Mexico,37,169,55,M,4/16/1975,4,Toluca (MEX),0,0,0,0,Athletics,Men's Marathon
Laura Bennett,United States of America,37,175,56,F,4/25/1975,4,North Palm Beach (USA),0,0,0,0,Triathlon,Women's Triathlon
Mateusz Kusznierewicz,Poland,37,193,100,M,4/29/1975,4,Warszawa (POL),0,0,0,0,Sailing,Men's Star
Pia Sundstedt,Finland,37,168,52,F,5/2/1975,5,Kokkola (FIN),0,0,0,0,Cycling - Road,"Women's Individual Time Trial, Women's Road Race"
Nathalie Zu Sayn - Wittgenstein,Denmark,37,176,63,F,5/2/1975,5,Kobenhavn (DEN),0,0,0,0,Equestrian,"Individual Dressage, Team Dressage, DIGBY"
Mebrahtom Keflezighi,United States of America,37,165,57,M,5/5/1975,5,Asmara (ERI),0,0,0,0,Athletics,Men's Marathon
Patrick Tambwe,France,37,182,68,M,5/5/1975,5,Kinshasa (CGO),0,0,0,0,Athletics,Men's Marathon
Richard Lambourne,United States of America,37,191,100,M,5/6/1975,5,Louisville (USA),0,0,0,0,Volleyball,Men's Volleyball
Egidijus Balciunas,Lithuania,37,188,90,M,5/7/1975,5,Marijampolé (LTU),0,0,0,0,Canoe Sprint,Men's Kayak Single (K1) 200m
Pierre-Alexis Ponsot,France,37,195,98,M,5/8/1975,5,GRANVILLE (FRA),0,0,0,0,Sailing,Men's Star
David Kostelecky,Czech Republic,37,190,100,M,5/12/1975,5,Brno  (CZE),0,0,0,0,Shooting,Men's Trap
Nicki Sorensen,Denmark,37,183,72,M,5/14/1975,5,HILLEROD (DEN),0,0,0,0,Cycling - Road,Men's Road Race
Christian Planer,Austria,37,183,85,M,5/15/1975,5,Kufstein (AUT),0,0,0,0,Shooting,Men's 50m Rifle Prone
